Gene name,Mouse gene,Ensembl_id
ADAM19,Adam19,ENSG00000135074
ADAM33,Adam33,ENSG00000149451
ADAMTS1,Adamts1,ENSG00000154734
ADAMTS13,Adamts13,ENSG00000160323
ADAMTS18,Adamts18,ENSG00000140873
GHRL,Ghrl,ENSG00000157017
TARS2,Tars2,ENSG00000143374
PAPLN,Papln,ENSG00000100767
CRHBP,Crhbp,ENSG00000145708
THSD4,Thsd4,ENSG00000187720
ADAMTS2,Adamts2,ENSG00000087116
MMP11,Mmp11,ENSG00000099953
MMP15,Mmp15,ENSG00000102996
LOX,Lox,ENSG00000113083
CCNH,Ccnh,ENSG00000134480
LOXL2,Loxl2,ENSG00000134013
LOXL3,Loxl3,ENSG00000115318
CDK7,Cdk7,ENSG00000134058
MMP16,Mmp16,ENSG00000156103
MMP17,Mmp17,ENSG00000198598
CHRNB2,Chrnb2,ENSG00000160716
CHRNB1,Chrnb1,ENSG00000170175
GRIK4,Grik4,ENSG00000149403
GRIK5,Grik5,ENSG00000105737
CLDN8,Cldn8,ENSG00000156284
CHRNA3,Chrna3,ENSG00000080644
EMP1,Emp1,ENSG00000134531
GRIN2C,Grin2c,ENSG00000161509
TMEM104,Tmem104,ENSG00000109066
RIPK1,Ripk1,ENSG00000137275
TIMP4,Timp4,ENSG00000157150
NR4A3,Nr4a3,ENSG00000119508
CYP11B1,Cyp11b2,ENSG00000160882
CYP11B2,Cyp11b2,ENSG00000179142
CYP11B1,Cyp11b1,ENSG00000160882
CYP11B2,Cyp11b1,ENSG00000179142
EFCAB6,Efcab6,ENSG00000186976
DIPK2A,Dipk2a,ENSG00000181744
TRPC1,Trpc1,ENSG00000144935
KIRREL2,Kirrel2,ENSG00000126259
IL22RA2,Il22ra2,ENSG00000164485
SPATA2,Spata2,ENSG00000158480
NPHP4,Nphp4,ENSG00000131697
IFNLR1,Ifnlr1,ENSG00000185436
IL10RA,Il10ra,ENSG00000110324
IFNGR1,Ifngr1,ENSG00000027697
IFNGR2,Ifngr2,ENSG00000159128
CEP78,Cep78,ENSG00000148019
INTS6,Ints6,ENSG00000102786
C1QTNF2,C1qtnf2,ENSG00000145861
SFT2D3,Sft2d3,ENSG00000173349
TMEM150A,Tmem150a,ENSG00000168890
MKKS,Mkks,ENSG00000125863
RNPC3,Rnpc3,ENSG00000185946
GTF2A1,Gtf2a1,ENSG00000165417
MARCKSL1,Marcksl1,ENSG00000175130
CXCL11,Cxcl11,ENSG00000169248
ENTPD4,Entpd4,ENSG00000197217
DOP1B,Dop1b,ENSG00000142197
RDH10,Rdh10,ENSG00000121039
PPP1R14A,Ppp1r14a,ENSG00000167641
SNF8,Snf8,ENSG00000159210
CA7,Car7,ENSG00000168748
GLRX,Glrx,ENSG00000173221
ATP6V1G1,Atp6v1g1,ENSG00000136888
KPNA2,Kpna2rt,ENSG00000182481
KPNA2,Kpna2,ENSG00000182481
KPNA4,Kpna4,ENSG00000186432
MAP3K3,Map3k3,ENSG00000198909
RBM4B,Rbm4b,ENSG00000173914
RBM4,Rbm4,ENSG00000173933
AKAP12,Akap12,ENSG00000131016
CLSTN2,Clstn2,ENSG00000158258
SPSB4,Spsb4,ENSG00000175093
TAGLN,Tagln,ENSG00000149591
SMTN,Smtn,ENSG00000183963
MYH10,Myh10,ENSG00000133026
XRCC6,Xrcc6,ENSG00000196419
SCN4B,Scn4b,ENSG00000177098
TAS1R2,Tas1r2,ENSG00000179002
TAS1R3,Tas1r3,ENSG00000169962
SCN1B,Scn1b,ENSG00000105711
SCN2B,Scn2b,ENSG00000149575
SCN3B,Scn3b,ENSG00000166257
GRAMD1A,Gramd1a,ENSG00000089351
EGF,Egf,ENSG00000138798
TJP1,Tjp1,ENSG00000104067
APBA1,Apba1,ENSG00000107282
TJP2,Tjp2,ENSG00000119139
DCLK2,Dclk2,ENSG00000170390
H4C15,H4c1,ENSG00000270276
H4C5,H4c1,ENSG00000276966
H4C16,H4c16,ENSG00000197837
H4C2,H4c16,ENSG00000278705
H4C5,H4c16,ENSG00000276966
H4C16,H4c9,ENSG00000197837
H4C5,H4c9,ENSG00000276966
H4C5,H4c12,ENSG00000276966
H4C8,H4c12,ENSG00000158406
H4C11,H4c6,ENSG00000197238
H4C5,H4c6,ENSG00000276966
H4C4,H4c17,ENSG00000277157
H4C5,H4c17,ENSG00000276966
H4C12,H4c11,ENSG00000273542
H4C5,H4c11,ENSG00000276966
H4C14,H4c2,ENSG00000270882
H4C5,H4c2,ENSG00000276966
H4C1,H4c4,ENSG00000278637
H4C5,H4c4,ENSG00000276966
H4C13,H4c18,ENSG00000275126
H4C5,H4c18,ENSG00000276966
H4C5,H4c3,ENSG00000276966
H4C6,H4c3,ENSG00000274618
H4C3,H4c14,ENSG00000197061
H4C5,H4c14,ENSG00000276966
H4C5,H4c8,ENSG00000276966
H4C9,H4c8,ENSG00000276180
RYR1,Ryr1,ENSG00000196218
RYR2,Ryr2,ENSG00000198626
DCTN2,Dctn2,ENSG00000175203
PAFAH1B1,Pafah1b1,ENSG00000007168
ULK1,Ulk1,ENSG00000177169
HTR1A,Htr1a,ENSG00000178394
BECN2,Becn2,ENSG00000196289
BECN1,Becn1,ENSG00000126581
ATG12,Atg12,ENSG00000145782
ITGAV,Itgav,ENSG00000138448
ITGB5,Itgb5,ENSG00000082781
DYRK1A,Dyrk1a,ENSG00000157540
RADIL,Radil,ENSG00000157927
ITGB3,Itgb3,ENSG00000259207
LRP2,Lrp2,ENSG00000081479
DENND5A,Dennd5a,ENSG00000184014
BUD31,Bud31,ENSG00000106245
EPN2,Epn2,ENSG00000072134
TOP3A,Top3a,ENSG00000177302
FLII,Flii,ENSG00000177731
SHMT2,Shmt2,ENSG00000182199
ARHGAP45,Arhgap45,ENSG00000180448
ITGB8,Itgb8,ENSG00000105855
PAK2,Pak2,ENSG00000180370
PAK5,Pak5,ENSG00000101349
RECQL5,Recql5,ENSG00000108469
BLM,Blm,ENSG00000197299
AR,Ar,ENSG00000169083
TAC1,Tac1,ENSG00000006128
PDGFC,Pdgfc,ENSG00000145431
XPC,Xpc,ENSG00000154767
SPINT1,Spint1,ENSG00000166145
RTF1,Rtf1,ENSG00000137815
CTR9,Ctr9,ENSG00000198730
MST1R,Mst1r,ENSG00000164078
MECOM,Mecom,ENSG00000085276
NLGN3,Nlgn3,ENSG00000196338
SEMA3E,Sema3e,ENSG00000170381
NEU3,Neu3,ENSG00000162139
NEU4,Neu4,ENSG00000204099
ZNF148,Zfp148,ENSG00000163848
PGLYRP2,Pglyrp2,ENSG00000161031
RPE65,Rpe65,ENSG00000116745
SH2D3C,Sh2d3c,ENSG00000095370
SOX2,Sox2,ENSG00000181449
ENTPD3,Entpd3,ENSG00000168032
IFT46,Ift46,ENSG00000118096
PTPN21,Ptpn21,ENSG00000070778
HDC,Hdc,ENSG00000140287
CST3,Cst3,ENSG00000101439
PRLR,Prlr,ENSG00000113494
LEPR,Lepr,ENSG00000116678
DNAJC6,Dnajc6,ENSG00000116675
CDC37L1,Cdc37l1,ENSG00000106993
CSF3R,Csf3r,ENSG00000119535
BTBD10,Btbd10,ENSG00000148925
IL6ST,Il6st,ENSG00000134352
ANKRD55,Ankrd55,ENSG00000164512
OSMR,Osmr,ENSG00000145623
LIFR,Lifr,ENSG00000113594
IL12RB2,Il12rb2,ENSG00000081985
IL23R,Il23r,ENSG00000162594
TTLL13,Ttll13,ENSG00000213471
TTLL6,Ttll6,ENSG00000170703
IFT70A,Ift70a2,ENSG00000197557
IFT70B,Ift70a2,ENSG00000196659
IFT70B,Ift70b,ENSG00000196659
IFT70A,Ift70a1,ENSG00000197557
IL11RA,Il11ra3,ENSG00000137070
IL11RA,Il11ra2,ENSG00000137070
IL11RA,Il11ra1,ENSG00000137070
MYLK,Mylk,ENSG00000065534
IL2RB,Il2rb,ENSG00000100385
C1QTNF6,C1qtnf6,ENSG00000133466
EBI3,Ebi3,ENSG00000105246
IL4R,Il4ra,ENSG00000077238
DOCK1,Dock1,ENSG00000150760
DOCK5,Dock5,ENSG00000147459
IL21R,Il21r,ENSG00000103522
CRLF1,Crlf1,ENSG00000006016
CSH1,Gh,ENSG00000136488
CSH2,Gh,ENSG00000213218
CSHL1,Gh,ENSG00000204414
GH1,Gh,ENSG00000259384
GH2,Gh,ENSG00000136487
IRAK3,Irak3,ENSG00000090376
CBY1,Cby1,ENSG00000100211
IL7R,Il7r,ENSG00000168685
SPEF2,Spef2,ENSG00000152582
IL13RA1,Il13ra1,ENSG00000131724
IL13RA2,Il13ra2,ENSG00000123496
LRCH2,Lrch2,ENSG00000130224
CSF2RB,Csf2rb2,ENSG00000100368
CSF2RB,Csf2rb,ENSG00000100368
SLC9A4,Slc9a4,ENSG00000180251
SLC9A2,Slc9a2,ENSG00000115616
PKMYT1,Pkmyt1,ENSG00000127564
SLC7A10,Slc7a10,ENSG00000130876
SLC7A9,Slc7a9,ENSG00000021488
LRP3,Lrp3,ENSG00000130881
MASP2,Masp2,ENSG00000009724
RAB3C,Rab3c,ENSG00000152932
FGF1,Fgf1,ENSG00000113578
FGF7,Fgf7,ENSG00000140285
MYRIP,Myrip,ENSG00000170011
PIWIL2,Piwil2,ENSG00000197181
FGF13,Fgf13,ENSG00000129682
CSNK1E,Csnk1e,ENSG00000213923
TPTEP2-CSNK1E,Csnk1e,ENSG00000283900
SLC35D2,Slc35d2,ENSG00000130958
CSNK1D,Csnk1d,ENSG00000141551
KISS1,Kiss1,ENSG00000170498
KISS1R,Kiss1r,ENSG00000116014
CRH,Crh,ENSG00000147571
FAM135A,Fam135a,ENSG00000082269
TEKT3,Tekt3,ENSG00000125409
SLC12A1,Slc12a1,ENSG00000074803
WNT9A,Wnt9a,ENSG00000143816
WNT9B,Wnt9b,ENSG00000158955
FLT3,Flt3,ENSG00000122025
AGL,Agl,ENSG00000162688
GSTM1,Gstm6,ENSG00000134184
GSTM3,Gstm5,ENSG00000134202
GSTM4,Gstm4,ENSG00000168765
GSTM1,Gstm2,ENSG00000134184
GSTM5,Gstm2,ENSG00000134201
GSTM2,Gstm7,ENSG00000213366
GSTM1,Gstm3,ENSG00000134184
GSTM1,Gstm1,ENSG00000134184
GSTM5,Gstm1,ENSG00000134201
MYO3B,Myo3b,ENSG00000071909
FEM1B,Fem1b,ENSG00000169018
PCSK1,Pcsk1,ENSG00000175426
CALML4,Calml4,ENSG00000129007
CGNL1,Cgnl1,ENSG00000128849
SIK2,Sik2,ENSG00000170145
TIMM8B,Timm8b,ENSG00000150779
LAYN,Layn,ENSG00000204381
POLM,Polm,ENSG00000122678
ARHGAP20,Arhgap20,ENSG00000137727
ANKK1,Ankk1,ENSG00000170209
FDX1,Fdx1,ENSG00000137714
DEK,Dek,ENSG00000124795
TTC12,Ttc12,ENSG00000149292
CYSLTR2,Cysltr2,ENSG00000152207
RCBTB2,Rcbtb2,ENSG00000136161
MAPKAPK2,Mapkapk2,ENSG00000162889
DNTT,Dntt,ENSG00000107447
PDZRN3,Pdzrn3,ENSG00000121440
DDX10,Ddx10,ENSG00000178105
GPR27,Gpr27,ENSG00000170837
GOLGA1,Golga1,ENSG00000136935
NFKBIZ,Nfkbiz,ENSG00000144802
SLC6A8,Slc6a8,ENSG00000130821
CAPZA1,Capza1,ENSG00000116489
CAPZA2,Capza2,ENSG00000198898
CAPZA1,Capza1b,ENSG00000116489
SIRT6,Sirt6,ENSG00000077463
HENMT1,Henmt1,ENSG00000162639
NRSN1,Nrsn1,ENSG00000152954
LPCAT1,Lpcat1,ENSG00000153395
TMCO3,Tmco3,ENSG00000150403
NPVF,Npvf,ENSG00000105954
GGNBP2,Ggnbp2,ENSG00000278311
OLFML3,Olfml3,ENSG00000116774
NPHS1,Nphs1,ENSG00000161270
PKP3,Pkp3,ENSG00000184363
DNAJB5,Dnajb5,ENSG00000137094
CASKIN1,Caskin1,ENSG00000167971
RIPK3,Ripk3,ENSG00000129465
IKBKB,Ikbkb,ENSG00000104365
EPOR,Epor,ENSG00000187266
IRAK1,Irak1,ENSG00000184216
ELP1,Elp1,ENSG00000070061
CIITA,Ciita,ENSG00000179583
NWD1,Nwd1,ENSG00000188039
NOD1,Nod1,ENSG00000106100
SWSAP1,Swsap1,ENSG00000173928
ZNF653,Zfp653,ENSG00000161914
TYK2,Tyk2,ENSG00000105397
NLRC3,Nlrc3,ENSG00000167984
NES,Nes,ENSG00000132688
NLRX1,Nlrx1,ENSG00000160703
F3,F3,ENSG00000117525
LRRC10,Lrrc10,ENSG00000198812
IRF3,Irf3,ENSG00000126456
TRAF2,Traf2,ENSG00000127191
TRAF5,Traf5,ENSG00000082512
TRAF1,Traf1,ENSG00000056558
RHOT1,Rhot1,ENSG00000126858
RHOBTB2,Rhobtb2,ENSG00000008853
LRRN1,Lrrn1,ENSG00000175928
AIDA,Aida,ENSG00000186063
HHIP,Hhip,ENSG00000164161
RNMT,Rnmt,ENSG00000101654
MIR126,Mir126a,ENSG00000199161
SEPTIN4,Septin4,ENSG00000108387
IFNK,Ifnk,ENSG00000147896
IFNA1,Ifna14,ENSG00000197919
IFNA10,Ifna14,ENSG00000186803
IFNA13,Ifna14,ENSG00000233816
IFNA14,Ifna14,ENSG00000228083
IFNA16,Ifna14,ENSG00000147885
IFNA17,Ifna14,ENSG00000234829
IFNA2,Ifna14,ENSG00000188379
IFNA21,Ifna14,ENSG00000137080
IFNA4,Ifna14,ENSG00000236637
IFNA5,Ifna14,ENSG00000147873
IFNA6,Ifna14,ENSG00000120235
IFNA7,Ifna14,ENSG00000214042
IFNA8,Ifna14,ENSG00000120242
IFNA1,Ifna9,ENSG00000197919
IFNA10,Ifna9,ENSG00000186803
IFNA13,Ifna9,ENSG00000233816
IFNA14,Ifna9,ENSG00000228083
IFNA16,Ifna9,ENSG00000147885
IFNA17,Ifna9,ENSG00000234829
IFNA2,Ifna9,ENSG00000188379
IFNA21,Ifna9,ENSG00000137080
IFNA4,Ifna9,ENSG00000236637
IFNA5,Ifna9,ENSG00000147873
IFNA6,Ifna9,ENSG00000120235
IFNA7,Ifna9,ENSG00000214042
IFNA8,Ifna9,ENSG00000120242
IFNA1,Ifna15,ENSG00000197919
IFNA10,Ifna15,ENSG00000186803
IFNA13,Ifna15,ENSG00000233816
IFNA14,Ifna15,ENSG00000228083
IFNA16,Ifna15,ENSG00000147885
IFNA17,Ifna15,ENSG00000234829
IFNA2,Ifna15,ENSG00000188379
IFNA21,Ifna15,ENSG00000137080
IFNA4,Ifna15,ENSG00000236637
IFNA5,Ifna15,ENSG00000147873
IFNA6,Ifna15,ENSG00000120235
IFNA7,Ifna15,ENSG00000214042
IFNA8,Ifna15,ENSG00000120242
IFNA1,Ifna2,ENSG00000197919
IFNA10,Ifna2,ENSG00000186803
IFNA13,Ifna2,ENSG00000233816
IFNA14,Ifna2,ENSG00000228083
IFNA16,Ifna2,ENSG00000147885
IFNA17,Ifna2,ENSG00000234829
IFNA2,Ifna2,ENSG00000188379
IFNA21,Ifna2,ENSG00000137080
IFNA4,Ifna2,ENSG00000236637
IFNA5,Ifna2,ENSG00000147873
IFNA6,Ifna2,ENSG00000120235
IFNA7,Ifna2,ENSG00000214042
IFNA8,Ifna2,ENSG00000120242
IFNA1,Ifna13,ENSG00000197919
IFNA10,Ifna13,ENSG00000186803
IFNA13,Ifna13,ENSG00000233816
IFNA14,Ifna13,ENSG00000228083
IFNA16,Ifna13,ENSG00000147885
IFNA17,Ifna13,ENSG00000234829
IFNA2,Ifna13,ENSG00000188379
IFNA21,Ifna13,ENSG00000137080
IFNA4,Ifna13,ENSG00000236637
IFNA5,Ifna13,ENSG00000147873
IFNA6,Ifna13,ENSG00000120235
IFNA7,Ifna13,ENSG00000214042
IFNA8,Ifna13,ENSG00000120242
IFNA1,Ifna4,ENSG00000197919
IFNA10,Ifna4,ENSG00000186803
IFNA13,Ifna4,ENSG00000233816
IFNA14,Ifna4,ENSG00000228083
IFNA16,Ifna4,ENSG00000147885
IFNA17,Ifna4,ENSG00000234829
IFNA2,Ifna4,ENSG00000188379
IFNA21,Ifna4,ENSG00000137080
IFNA4,Ifna4,ENSG00000236637
IFNA5,Ifna4,ENSG00000147873
IFNA6,Ifna4,ENSG00000120235
IFNA7,Ifna4,ENSG00000214042
IFNA8,Ifna4,ENSG00000120242
IFNA1,Ifna11,ENSG00000197919
IFNA10,Ifna11,ENSG00000186803
IFNA13,Ifna11,ENSG00000233816
IFNA14,Ifna11,ENSG00000228083
IFNA16,Ifna11,ENSG00000147885
IFNA17,Ifna11,ENSG00000234829
IFNA2,Ifna11,ENSG00000188379
IFNA21,Ifna11,ENSG00000137080
IFNA4,Ifna11,ENSG00000236637
IFNA5,Ifna11,ENSG00000147873
IFNA6,Ifna11,ENSG00000120235
IFNA7,Ifna11,ENSG00000214042
IFNA8,Ifna11,ENSG00000120242
IFNA1,Ifna12,ENSG00000197919
IFNA10,Ifna12,ENSG00000186803
IFNA13,Ifna12,ENSG00000233816
IFNA14,Ifna12,ENSG00000228083
IFNA16,Ifna12,ENSG00000147885
IFNA17,Ifna12,ENSG00000234829
IFNA2,Ifna12,ENSG00000188379
IFNA21,Ifna12,ENSG00000137080
IFNA4,Ifna12,ENSG00000236637
IFNA5,Ifna12,ENSG00000147873
IFNA6,Ifna12,ENSG00000120235
IFNA7,Ifna12,ENSG00000214042
IFNA8,Ifna12,ENSG00000120242
IFNA1,Ifna7,ENSG00000197919
IFNA10,Ifna7,ENSG00000186803
IFNA13,Ifna7,ENSG00000233816
IFNA14,Ifna7,ENSG00000228083
IFNA16,Ifna7,ENSG00000147885
IFNA17,Ifna7,ENSG00000234829
IFNA2,Ifna7,ENSG00000188379
IFNA21,Ifna7,ENSG00000137080
IFNA4,Ifna7,ENSG00000236637
IFNA5,Ifna7,ENSG00000147873
IFNA6,Ifna7,ENSG00000120235
IFNA7,Ifna7,ENSG00000214042
IFNA8,Ifna7,ENSG00000120242
IFNA1,Ifna6,ENSG00000197919
IFNA10,Ifna6,ENSG00000186803
IFNA13,Ifna6,ENSG00000233816
IFNA14,Ifna6,ENSG00000228083
IFNA16,Ifna6,ENSG00000147885
IFNA17,Ifna6,ENSG00000234829
IFNA2,Ifna6,ENSG00000188379
IFNA21,Ifna6,ENSG00000137080
IFNA4,Ifna6,ENSG00000236637
IFNA5,Ifna6,ENSG00000147873
IFNA6,Ifna6,ENSG00000120235
IFNA7,Ifna6,ENSG00000214042
IFNA8,Ifna6,ENSG00000120242
IFNA1,Ifna5,ENSG00000197919
IFNA10,Ifna5,ENSG00000186803
IFNA13,Ifna5,ENSG00000233816
IFNA14,Ifna5,ENSG00000228083
IFNA16,Ifna5,ENSG00000147885
IFNA17,Ifna5,ENSG00000234829
IFNA2,Ifna5,ENSG00000188379
IFNA21,Ifna5,ENSG00000137080
IFNA4,Ifna5,ENSG00000236637
IFNA5,Ifna5,ENSG00000147873
IFNA6,Ifna5,ENSG00000120235
IFNA7,Ifna5,ENSG00000214042
IFNA8,Ifna5,ENSG00000120242
IFNA1,Ifnab,ENSG00000197919
IFNA10,Ifnab,ENSG00000186803
IFNA13,Ifnab,ENSG00000233816
IFNA14,Ifnab,ENSG00000228083
IFNA16,Ifnab,ENSG00000147885
IFNA17,Ifnab,ENSG00000234829
IFNA2,Ifnab,ENSG00000188379
IFNA21,Ifnab,ENSG00000137080
IFNA4,Ifnab,ENSG00000236637
IFNA5,Ifnab,ENSG00000147873
IFNA6,Ifnab,ENSG00000120235
IFNA7,Ifnab,ENSG00000214042
IFNA8,Ifnab,ENSG00000120242
IFNA1,Ifna16,ENSG00000197919
IFNA10,Ifna16,ENSG00000186803
IFNA13,Ifna16,ENSG00000233816
IFNA14,Ifna16,ENSG00000228083
IFNA16,Ifna16,ENSG00000147885
IFNA17,Ifna16,ENSG00000234829
IFNA2,Ifna16,ENSG00000188379
IFNA21,Ifna16,ENSG00000137080
IFNA4,Ifna16,ENSG00000236637
IFNA5,Ifna16,ENSG00000147873
IFNA6,Ifna16,ENSG00000120235
IFNA7,Ifna16,ENSG00000214042
IFNA8,Ifna16,ENSG00000120242
IFNA1,Ifna1,ENSG00000197919
IFNA10,Ifna1,ENSG00000186803
IFNA13,Ifna1,ENSG00000233816
IFNA14,Ifna1,ENSG00000228083
IFNA16,Ifna1,ENSG00000147885
IFNA17,Ifna1,ENSG00000234829
IFNA2,Ifna1,ENSG00000188379
IFNA21,Ifna1,ENSG00000137080
IFNA4,Ifna1,ENSG00000236637
IFNA5,Ifna1,ENSG00000147873
IFNA6,Ifna1,ENSG00000120235
IFNA7,Ifna1,ENSG00000214042
IFNA8,Ifna1,ENSG00000120242
IFNE,Ifne,ENSG00000184995
NKD2,Nkd2,ENSG00000145506
MAP9,Map9,ENSG00000164114
G6PC1,G6pc1,ENSG00000131482
GJE1,Gje1,ENSG00000203733
CACNB4,Cacnb4,ENSG00000182389
STAT2,Stat2,ENSG00000170581
CAVIN1,Cavin1,ENSG00000177469
OC90,Oc90,ENSG00000253117
TIAM1,Tiam1,ENSG00000156299
MYOM3,Myom3,ENSG00000142661
IL20RB,Il20rb,ENSG00000174564
KIFBP,Kifbp,ENSG00000198954
IL20,Il20,ENSG00000162891
IL19,Il19,ENSG00000142224
CRLF3,Crlf3,ENSG00000176390
BOK,Bok,ENSG00000176720
IL6R,Il6ra,ENSG00000160712
CNTFR,Cntfr,ENSG00000122756
IL2RG,Il2rg,ENSG00000147168
AIRE,Aire,ENSG00000160224
PPP4R2,Ppp4r2,ENSG00000163605
TERT,Tert,ENSG00000164362
S100A2,S100a2,ENSG00000196754
S100A5,S100a5,ENSG00000196420
ATP2B3,Atp2b3,ENSG00000067842
ATP2B4,Atp2b4,ENSG00000058668
SLC8A3,Slc8a3,ENSG00000100678
SP2,Sp2,ENSG00000167182
RCOR1,Rcor1,ENSG00000089902
ELP4,Elp4,ENSG00000109911
CLPP,Clpp,ENSG00000125656
SP3,Sp3,ENSG00000172845
ITPA,Itpa,ENSG00000125877
ALPG,Alppl2,ENSG00000163286
ALPI,Alppl2,ENSG00000163295
ALPG,Alpi,ENSG00000163286
ALPI,Alpi,ENSG00000163295
ALPP,Alpi,ENSG00000163283
ALPG,Akp3,ENSG00000163286
ALPI,Akp3,ENSG00000163295
PLEKHB2,Plekhb2,ENSG00000115762
MVB12B,Mvb12b,ENSG00000196814
REST,Rest,ENSG00000084093
MMRN2,Mmrn2,ENSG00000173269
CBLN3,Cbln3,ENSG00000139899
FBXO15,Fbxo15,ENSG00000141665
EMILIN2,Emilin2,ENSG00000132205
MYOM1,Myom1,ENSG00000101605
AQP11,Aqp11,ENSG00000178301
SPTAN1,Sptan1,ENSG00000197694
CCK,Cck,ENSG00000187094
EIF2AK2,Eif2ak2,ENSG00000055332
MYO18A,Myo18a,ENSG00000196535
ADIPOQ,Adipoq,ENSG00000181092
DCAKD,Dcakd,ENSG00000172992
KLF5,Klf5,ENSG00000102554
MYO9A,Myo9a,ENSG00000066933
KLHL5,Klhl5,ENSG00000109790
MYO15A,Myo15a,ENSG00000091536
FOXO1,Foxo1,ENSG00000150907
NHERF4,Nherf4,ENSG00000172367
ODR4,Odr4,ENSG00000157181
PPARGC1A,Ppargc1a,ENSG00000109819
CADM1,Cadm1,ENSG00000182985
MEGF10,Megf10,ENSG00000145794
JAM3,Jam3,ENSG00000166086
HMX2,Hmx2,ENSG00000188816
CADM2,Cadm2,ENSG00000175161
CADM3,Cadm3,ENSG00000162706
OSBPL6,Osbpl6,ENSG00000079156
DHX40,Dhx40,ENSG00000108406
SMARCD3,Smarcd3,ENSG00000082014
ZNF142,Zfp142,ENSG00000115568
MKX,Mkx,ENSG00000150051
HMX1,Hmx1,ENSG00000215612
SLC5A9,Slc5a9,ENSG00000117834
BCAR3,Bcar3,ENSG00000137936
DNTTIP2,Dnttip2,ENSG00000067334
CIDEB,Cideb,ENSG00000136305
SLC18A2,Slc18a2,ENSG00000165646
NR2C1,Nr2c1,ENSG00000120798
ARRDC1,Arrdc1,ENSG00000197070
SETDB2,Setdb2,ENSG00000136169
SETDB1,Setdb1,ENSG00000143379
ARL8B,Arl8b,ENSG00000134108
SETMAR,Setmar,ENSG00000170364
SETD2,Setd2,ENSG00000181555
NSD1,Nsd1,ENSG00000165671
NSD2,Nsd2,ENSG00000109685
DDHD2,Ddhd2,ENSG00000085788
RAMP2,Ramp2,ENSG00000131477
EZH1,Ezh1,ENSG00000108799
RETREG3,Retreg3,ENSG00000141699
ANKRD33,Ankrd33,ENSG00000167612
KMT2C,Kmt2c,ENSG00000055609
SLC4A1AP,Slc4a1ap,ENSG00000163798
GPAT3,Gpat3,ENSG00000138678
KMT2A,Kmt2a,ENSG00000118058
SETD1A,Setd1a,ENSG00000099381
SETD1B,Setd1b,ENSG00000139718
SBNO1,Sbno1,ENSG00000139697
KMT5A,Kmt5a,ENSG00000183955
SETD7,Setd7,ENSG00000145391
BICC1,Bicc1,ENSG00000122870
TRIM3,Trim3,ENSG00000110171
SETD5,Setd5,ENSG00000168137
KMT5C,Kmt5c,ENSG00000133247
SETD6,Setd6,ENSG00000103037
NT5DC3,Nt5dc3,ENSG00000111696
SMYD5,Smyd5,ENSG00000135632
SMYD4,Smyd4,ENSG00000186532
KMT5B,Kmt5b,ENSG00000110066
KIF3A,Kif3a,ENSG00000131437
ERBIN,Erbin,ENSG00000112851
SFI1,Sfi1,ENSG00000198089
SULF2,Sulf2,ENSG00000196562
ZC3H7B,Zc3h7b,ENSG00000100403
NOVA2,Nova2,ENSG00000104967
HSPB2,Hspb2,ENSG00000170276
HSPB3,Hspb3,ENSG00000169271
DIS3,Dis3,ENSG00000083520
ANTXR2,Antxr2,ENSG00000163297
SNX18,Snx18,ENSG00000178996
FOCAD,Focad,ENSG00000188352
PHF20L1,Phf20l1,ENSG00000129292
HSPB6,Hspb6,ENSG00000004776
HSPB9,Hspb9,ENSG00000260325
SMARCD2,Smarcd2,ENSG00000108604
KIF19,Kif19a,ENSG00000196169
MARK2,Mark2,ENSG00000072518
PLVAP,Plvap,ENSG00000130300
NCF1,Ncf1,ENSG00000158517
NCF1B,Ncf1,NA
NCF1C,Ncf1,ENSG00000165178
PARP6,Parp6,ENSG00000137817
PLEK2,Plek2,ENSG00000100558
SLC25A36,Slc25a36,ENSG00000114120
NPY1R,Npy1r,ENSG00000164128
PLXNA1,Plxna1,ENSG00000114554
SLC9A7,Slc9a7,ENSG00000065923
SLC9A8,Slc9a8,ENSG00000197818
TMTC4,Tmtc4,ENSG00000125247
SLC9A1,Slc9a1,ENSG00000090020
SLC9A5,Slc9a5,ENSG00000135740
SLC9A3,Slc9a3,ENSG00000066230
GGT5,Ggt5,ENSG00000099998
SLC9A6,Slc9a6,ENSG00000198689
EPHX4,Ephx4,ENSG00000172031
DMGDH,Dmgdh,ENSG00000132837
RNF207,Rnf207,ENSG00000158286
OPN3,Opn3,ENSG00000054277
DEGS2,Degs2,ENSG00000168350
IDO1,Ido1,ENSG00000131203
IDO2,Ido2,ENSG00000188676
NR3C1,Nr3c1,ENSG00000113580
CAMTA1,Camta1,ENSG00000171735
NFIC,Nfic,ENSG00000141905
NR3C2,Nr3c2,ENSG00000151623
ZNF488,Zfp488,ENSG00000265763
FABP5,Fabp5,ENSG00000164687
FABP5P3,Fabp5,ENSG00000241735
FABP12,Fabp12,ENSG00000197416
FABP4,Fabp4,ENSG00000170323
PMP2,Pmp2,ENSG00000147588
ALDH8A1,Aldh8a1,ENSG00000118514
EMILIN3,Emilin3,ENSG00000183798
PRDM2,Prdm2,ENSG00000116731
PRDM8,Prdm8,ENSG00000152784
PRDM16,Prdm16,ENSG00000142611
PRDM14,Prdm14,ENSG00000147596
PRDM7,Prdm9,ENSG00000126856
PRDM9,Prdm9,ENSG00000164256
PRDM13,Prdm13,ENSG00000112238
